"Make","Model","Vehicle Class","Engine Size(L)","Cylinders","Transmission","Fuel Type","Fuel Consumption City (L/100 km)","Fuel Consumption Hwy (L/100 km)","Fuel Consumption Comb (L/100 km)","Fuel Consumption Comb (mpg)","CO2 Emissions(g/km)","Date"
"SCION","FR-S","MINICOMPACT","2","4","AS6","Z","9.6","7","8.4","34","197","6/29/2014"
"SCION","FR-S","MINICOMPACT","2","4","M6","Z","10.9","7.9","9.6","29","224","3/6/2020"
"SCION","iM","MID-SIZE","1.8","4","AV7","X","8.3","6.3","7.4","38","173","3/2/2020"
"SCION","iM","MID-SIZE","1.8","4","M6","X","8.6","6.6","7.7","37","180","5/30/2018"
"SCION","tC","COMPACT","2.5","4","AS6","X","10.2","7.6","9","31","211","11/4/2019"
"SCION","tC","COMPACT","2.5","4","M6","X","10.2","7.7","9","31","210","3/12/2013"
"SMART","FORTWO CABRIOLET","TWO-SEATER","0.9","3","AM6","Z","7.5","6.1","6.9","41","157","9/26/2017"
"SMART","FORTWO COUPE","TWO-SEATER","0.9","3","AM6","Z","7.5","6.1","6.9","41","157","3/15/2021"
"SUBARU","BRZ","MINICOMPACT","2","4","AS6","Z","9.6","7","8.4","34","197","10/11/2011"
"SUBARU","BRZ","MINICOMPACT","2","4","M6","Z","10.9","7.9","9.6","29","224","2/5/2019"
"SUBARU","FORESTER AWD","SUV - SMALL","2","4","AV8","Z","10.2","8.5","9.4","30","222","3/25/2014"
"SUBARU","FORESTER AWD","SUV - SMALL","2.5","4","AV6","X","9.6","7.5","8.7","32","204","8/4/2018"
"SUBARU","FORESTER AWD","SUV - SMALL","2.5","4","M6","X","10.6","8.4","9.6","29","227","3/19/2015"
"SUBARU","IMPREZA AWD","COMPACT","2","4","AV6","X","8.5","6.4","7.6","37","177","11/26/2016"
"SUBARU","IMPREZA AWD","COMPACT","2","4","M5","X","9.5","7","8.4","34","197","2/5/2018"
"SUBARU","IMPREZA WAGON AWD","STATION WAGON - SMALL","2","4","AV6","X","8.5","6.4","7.6","37","177","4/11/2020"
"SUBARU","IMPREZA WAGON AWD","STATION WAGON - SMALL","2","4","M5","X","9.5","7","8.4","34","197","12/25/2011"
"SUBARU","LEGACY AWD","MID-SIZE","2.5","4","AV6","X","9","6.5","7.9","36","185","10/28/2012"
"SUBARU","LEGACY AWD","MID-SIZE","2.5","4","M6","X","10.7","7.8","9.4","30","220","1/1/2019"
"SUBARU","LEGACY AWD","MID-SIZE","3.6","6","AV6","X","11.9","8.2","10.2","28","239","4/21/2011"
"SUBARU","OUTBACK AWD","SUV - SMALL","2.5","4","AV6","X","9.3","7.1","8.3","34","196","4/20/2016"
"SUBARU","OUTBACK AWD","SUV - SMALL","2.5","4","M6","X","11","8.2","9.7","29","228","8/9/2018"
"SUBARU","OUTBACK AWD","SUV - SMALL","3.6","6","AV6","X","12","8.6","10.5","27","246","5/29/2018"
"SUBARU","WRX","COMPACT","2","4","AV8","Z","12.5","9.5","11.2","25","254","11/17/2019"
"SUBARU","WRX","COMPACT","2","4","M6","Z","11.3","8.4","10","28","233","7/9/2016"
"SUBARU","WRX","COMPACT","2.5","4","M6","Z","13.8","10.2","12.2","23","285","5/12/2018"
"SUBARU","XV CROSSTREK AWD","SUV - SMALL","2","4","AV6","X","9.1","7","8.1","35","191","12/16/2020"
"SUBARU","XV CROSSTREK AWD","SUV - SMALL","2","4","M5","X","10.2","7.7","9.1","31","214","4/17/2020"
"SUBARU","XV CROSSTREK HYBRID AWD","SUV - SMALL","2","4","AV6","X","7.9","6.9","7.5","38","175","8/2/2017"
"TOYOTA","4RUNNER 4WD","SUV - STANDARD","4","6","AS5","X","14.2","11.1","12.8","22","298","2/10/2019"
"TOYOTA","4RUNNER 4WD (Part-Time 4WD)","SUV - STANDARD","4","6","AS5","X","14.2","11.1","12.8","22","298","3/10/2011"
"TOYOTA","AVALON","MID-SIZE","3.5","6","AS6","X","11.4","7.6","9.7","29","225","3/2/2013"
"TOYOTA","CAMRY","MID-SIZE","2.5","4","AS6","X","9.4","6.7","8.2","34","192","1/8/2011"
"TOYOTA","CAMRY","MID-SIZE","3.5","6","AS6","X","11","7.7","9.5","30","222","10/4/2011"
"TOYOTA","CAMRY HYBRID LE","MID-SIZE","2.5","4","AV","X","5.5","6","5.7","50","134","9/4/2021"
"TOYOTA","CAMRY HYBRID XLE/SE","MID-SIZE","2.5","4","AV","X","5.7","6","5.9","48","137","4/10/2014"
"TOYOTA","COROLLA","MID-SIZE","1.8","4","A4","X","8.6","6.5","7.6","37","179","8/26/2016"
"TOYOTA","COROLLA","MID-SIZE","1.8","4","AV","X","8.2","6.2","7.3","39","171","9/20/2013"
"TOYOTA","COROLLA","MID-SIZE","1.8","4","AV7","X","7.9","6.1","7.1","40","166","10/18/2017"
"TOYOTA","COROLLA","MID-SIZE","1.8","4","M6","X","8.4","6.4","7.5","38","174","9/11/2020"
"TOYOTA","COROLLA LE ECO (1-mode)","MID-SIZE","1.8","4","AV","X","7.7","5.6","6.8","42","160","8/27/2012"
"TOYOTA","COROLLA LE ECO (2-mode)","MID-SIZE","1.8","4","AV","X","7.7","6","6.9","41","162","9/27/2018"
"TOYOTA","HIGHLANDER","SUV - SMALL","3.5","6","AS6","X","12.5","9.3","11.1","25","260","2/22/2014"
"TOYOTA","HIGHLANDER AWD","SUV - STANDARD","3.5","6","AS6","X","13","9.8","11.6","24","272","2/7/2020"
"TOYOTA","HIGHLANDER HYBRID AWD","SUV - STANDARD","3.5","6","AV6","X","8.6","8.4","8.5","33","198","8/25/2014"
"TOYOTA","HIGHLANDER HYBRID AWD LE","SUV - STANDARD","3.5","6","AV6","X","8.4","8.3","8.4","34","195","7/19/2018"
"TOYOTA","PRIUS","MID-SIZE","1.8","4","AV","X","4.4","4.6","4.5","63","104","9/1/2021"
"TOYOTA","PRIUS c","COMPACT","1.5","4","AV","X","4.5","5.1","4.7","60","111","6/28/2019"
"TOYOTA","PRIUS v","STATION WAGON - MID-SIZE","1.8","4","AV","X","5.4","5.8","5.6","50","131","3/2/2016"
"TOYOTA","RAV4","SUV - SMALL","2.5","4","AS6","X","10.1","7.7","9","31","212","1/15/2021"
"TOYOTA","RAV4 AWD","SUV - SMALL","2.5","4","AS6","X","10.5","8.2","9.5","30","220","7/17/2013"
"TOYOTA","RAV4 HYBRID AWD","SUV - SMALL","2.5","4","AV6","X","6.9","7.6","7.2","39","169","7/1/2016"
"TOYOTA","RAV4 LE/XLE","SUV - SMALL","2.5","4","AS6","X","10","7.6","8.9","32","208","1/6/2012"
"TOYOTA","RAV4 LIMITED/SE AWD","SUV - SMALL","2.5","4","AS6","X","10.6","8.1","9.4","30","220","6/30/2017"
"TOYOTA","SEQUOIA 4WD","SUV - STANDARD","5.7","8","AS6","X","18.8","14","16.6","17","382","10/24/2013"
"TOYOTA","SIENNA","MINIVAN","3.5","6","AS6","X","13","9.5","11.4","25","267","6/12/2019"
"TOYOTA","SIENNA AWD","MINIVAN","3.5","6","AS6","X","14.4","10.2","12.5","23","290","8/4/2012"
"TOYOTA","TACOMA","PICKUP TRUCK - SMALL","2.7","4","AS6","X","12","10","11.1","25","261","5/10/2014"
"TOYOTA","TACOMA","PICKUP TRUCK - SMALL","3.5","6","AS6","X","12.6","10","11.4","25","267","6/24/2019"
"TOYOTA","TACOMA 4WD","PICKUP TRUCK - SMALL","2.7","4","AS6","X","12.7","10.5","11.7","24","274","9/2/2013"
"TOYOTA","TACOMA 4WD","PICKUP TRUCK - SMALL","2.7","4","M5","X","12.4","11.4","11.9","24","279","2/16/2021"
"TOYOTA","TACOMA 4WD","PICKUP TRUCK - SMALL","3.5","6","AS6","X","13.1","10.5","11.9","24","280","5/1/2015"
"TOYOTA","TACOMA 4WD","PICKUP TRUCK - SMALL","3.5","6","M6","X","13.6","11.2","12.5","23","292","4/4/2011"
"TOYOTA","TACOMA 4WD D-CAB OFF-ROAD","PICKUP TRUCK - SMALL","3.5","6","M6","X","13.8","11.7","12.9","22","300","12/20/2016"
"TOYOTA","TUNDRA","PICKUP TRUCK - STANDARD","4.6","8","AS6","X","15.9","12.3","14.3","20","335","11/14/2011"
"TOYOTA","TUNDRA","PICKUP TRUCK - STANDARD","5.7","8","AS6","X","17.3","13","15.4","18","360","4/19/2018"
"TOYOTA","TUNDRA 4WD","PICKUP TRUCK - STANDARD","4.6","8","AS6","X","16.9","12.9","15.1","19","351","2/5/2015"
"TOYOTA","TUNDRA 4WD","PICKUP TRUCK - STANDARD","5.7","8","AS6","X","18.2","14.1","16.3","17","380","5/24/2012"
"TOYOTA","VENZA","SUV - SMALL","2.7","4","AS6","X","11.6","9","10.4","27","244","1/27/2015"
"TOYOTA","VENZA","SUV - SMALL","3.5","6","AS6","X","12.5","9","10.9","26","256","1/22/2017"
"TOYOTA","VENZA 4WD","SUV - SMALL","2.7","4","AS6","X","11.6","9.2","10.5","27","241","1/28/2018"
"TOYOTA","VENZA 4WD","SUV - SMALL","3.5","6","AS6","X","12.8","9.3","11.3","25","263","4/10/2020"
"TOYOTA","YARIS","COMPACT","1.5","4","AS6","X","7.2","5.6","6.4","44","151","8/2/2012"
"TOYOTA","YARIS (SIL)","COMPACT","1.5","4","M6","X","7.6","5.7","6.7","42","157","8/14/2011"
"TOYOTA","YARIS HATCHBACK","COMPACT","1.5","4","A4","X","7.8","6.6","7.3","39","170","12/19/2020"
"TOYOTA","YARIS HATCHBACK","COMPACT","1.5","4","M5","X","7.7","6.3","7.1","40","165","1/23/2017"
"VOLKSWAGEN","BEETLE","COMPACT","1.8","4","AS6","X","9.6","7","8.4","34","196","11/18/2013"
"VOLKSWAGEN","BEETLE","COMPACT","1.8","4","M5","X","9.5","6.9","8.4","34","196","9/2/2019"
"VOLKSWAGEN","BEETLE CONVERTIBLE","SUBCOMPACT","1.8","4","AS6","X","9.6","7","8.4","34","196","5/31/2012"
"VOLKSWAGEN","BEETLE DUNE","COMPACT","1.8","4","AS6","X","9.7","7.5","8.7","32","203","9/15/2012"
"VOLKSWAGEN","CC","COMPACT","2","4","AM6","Z","10.7","7.7","9.3","30","217","1/25/2017"
"VOLKSWAGEN","GOLF","COMPACT","1.8","4","AS6","X","9.3","6.5","8.1","35","189","2/1/2015"
"VOLKSWAGEN","GOLF","COMPACT","1.8","4","M5","X","9.3","6.4","8","35","187","4/9/2020"
"VOLKSWAGEN","GOLF GTI","COMPACT","2","4","AM6","X","9.5","7.2","8.5","33","198","4/10/2012"
"VOLKSWAGEN","GOLF GTI","COMPACT","2","4","M6","X","9.4","6.9","8.3","34","193","7/14/2020"
"VOLKSWAGEN","GOLF R","COMPACT","2","4","AM6","Z","10.4","7.9","9.3","30","216","10/10/2015"
"VOLKSWAGEN","GOLF R","COMPACT","2","4","M6","Z","10.9","7.7","9.4","30","220","5/16/2014"
"VOLKSWAGEN","GOLF SPORTWAGON","STATION WAGON - SMALL","1.8","4","AS6","X","9.4","6.8","8.2","34","193","1/29/2020"
"VOLKSWAGEN","GOLF SPORTWAGON","STATION WAGON - SMALL","1.8","4","M5","X","9.5","6.6","8.2","34","192","12/19/2012"
"VOLKSWAGEN","JETTA","COMPACT","1.4","4","AS6","X","8.5","6","7.3","39","173","7/22/2019"
"VOLKSWAGEN","JETTA","COMPACT","1.4","4","M5","X","8.3","5.9","7.2","39","168","4/15/2014"
"VOLKSWAGEN","JETTA","COMPACT","1.8","4","AS6","X","9.2","6.4","8","35","186","3/1/2018"
"VOLKSWAGEN","JETTA","COMPACT","1.8","4","M5","X","9.4","6.4","8.1","35","189","12/1/2013"
"VOLKSWAGEN","JETTA","COMPACT","2","4","AM6","X","9.8","7","8.6","33","201","3/24/2017"
"VOLKSWAGEN","JETTA","COMPACT","2","4","M6","X","10.1","7.2","8.8","32","207","8/12/2013"
"VOLKSWAGEN","JETTA HYBRID","COMPACT","1.4","4","AM7","Z","5.7","4.9","5.3","53","124","8/11/2013"
"VOLKSWAGEN","PASSAT","MID-SIZE","1.8","4","AS6","X","9.4","6.3","8","35","187","11/5/2012"
"VOLKSWAGEN","PASSAT","MID-SIZE","1.8","4","M6","X","9.5","6.4","8.1","35","189","2/2/2015"
"VOLKSWAGEN","PASSAT","MID-SIZE","3.6","6","AM6","X","11.9","8.5","10.4","27","243","12/4/2017"
"VOLKSWAGEN","TIGUAN","SUV - SMALL","2","4","AS6","Z","11.7","9.5","10.7","26","251","8/24/2013"
"VOLKSWAGEN","TIGUAN","SUV - SMALL","2","4","M6","Z","13","9","11.2","25","259","12/31/2014"
"VOLKSWAGEN","TIGUAN 4MOTION","SUV - SMALL","2","4","AS6","Z","11.6","9.3","10.6","27","248","4/29/2020"
"VOLKSWAGEN","TOUAREG","SUV - STANDARD","3.6","6","AS8","X","14.1","10.4","12.4","23","292","6/16/2018"
"VOLKSWAGEN","TOUAREG TDI (modified)","SUV - STANDARD","3","6","AS8","D","11.2","8.4","9.8","29","270","9/12/2011"
"VOLVO","S60 CC T5 AWD","COMPACT","2.5","5","AS6","X","11.8","8.6","10.3","27","239","7/27/2016"
"VOLVO","S60 INSCRIPTION","COMPACT","2","4","AS8","X","9.6","6.7","8.3","34","193","6/15/2014"
"VOLVO","S60 INSCRIPTION T5 AWD","COMPACT","2.5","5","AS6","X","11.6","8.2","10.1","28","233","7/13/2014"
"VOLVO","S60 T5","COMPACT","2","4","AS8","X","9.6","6.7","8.3","34","193","5/27/2020"
"VOLVO","S60 T5 AWD","COMPACT","2.5","5","AS6","X","11.6","8.2","10.1","28","233","10/11/2017"
"VOLVO","S60 T6","COMPACT","2","4","AS8","Z","10.6","7.7","9.3","30","218","3/3/2020"
"VOLVO","S60 T6 AWD","COMPACT","2","4","AS8","Z","11.3","8.2","9.9","29","231","12/8/2020"
"VOLVO","S60 3.0T AWD","COMPACT","3","6","AS6","X","13","9","11.2","25","259","5/10/2016"
"VOLVO","S60 POLESTAR","COMPACT","3","6","AS6","X","13","9","11.2","25","259","8/5/2018"
"VOLVO","S80 T5","MID-SIZE","2","4","AS8","X","9.6","6.7","8.3","34","193","1/13/2019"
"VOLVO","V60 CC T5 AWD","STATION WAGON - SMALL","2.5","5","AS6","X","11.8","8.6","10.3","27","239","5/20/2020"
"VOLVO","V60 T5","STATION WAGON - SMALL","2","4","AS8","X","9.6","6.7","8.3","34","193","8/7/2013"
"VOLVO","V60 T5 AWD","STATION WAGON - SMALL","2.5","5","AS6","X","11.6","8.2","10.1","28","233","1/5/2017"
"VOLVO","V60 T6 AWD","STATION WAGON - SMALL","2","4","AS8","Z","11.3","8.2","9.9","29","231","4/17/2012"
"VOLVO","V60 3.0T AWD","STATION WAGON - SMALL","3","6","AS6","X","13","9","11.2","25","259","11/5/2018"
"VOLVO","V60 POLESTAR","STATION WAGON - SMALL","3","6","AS6","X","13","9","11.2","25","259","9/18/2015"
"VOLVO","XC60 T5","SUV - SMALL","2","4","AS8","X","10.3","7.6","9.1","31","213","9/23/2019"
"VOLVO","XC60 T5 AWD","SUV - SMALL","2.5","5","AS6","X","12.5","9.2","11","26","254","3/15/2019"
"VOLVO","XC60 T6","SUV - SMALL","2","4","AS8","Z","11","8.1","9.7","29","226","2/9/2014"
"VOLVO","XC60 T6 AWD","SUV - SMALL","2","4","AS8","Z","11.8","9.1","10.6","27","247","2/5/2018"
"VOLVO","XC60 3.0T AWD","SUV - SMALL","3","6","AS6","X","13.7","10.1","12","24","276","5/17/2015"
"VOLVO","XC70 T5","SUV - SMALL","2","4","AS8","X","10.3","7.6","9.1","31","213","6/23/2011"
"VOLVO","XC70 T5 AWD","SUV - SMALL","2.5","5","AS6","X","12.5","9.2","11","26","254","7/30/2014"
"VOLVO","XC90 T5","SUV - STANDARD","2","4","AS8","Z","10.6","9.1","10","28","232","12/24/2017"
"VOLVO","XC90 T5 AWD","SUV - STANDARD","2","4","AS8","Z","10.8","9.5","10.2","28","239","10/23/2012"
"VOLVO","XC90 T6 AWD","SUV - STANDARD","2","4","AS8","Z","11.5","9.5","10.6","27","247","9/21/2018"
"ACURA","ILX","COMPACT","2.4","4","AM8","Z","9.4","6.8","8.2","34","192","6/10/2020"
"ACURA","MDX SH-AWD","SUV - SMALL","3.5","6","AS9","Z","12.6","9","11","26","259","11/18/2017"
"ACURA","MDX SH-AWD ELITE","SUV - SMALL","3.5","6","AS9","Z","12.2","9","10.7","26","251","2/3/2013"
"ACURA","MDX HYBRID AWD","SUV - SMALL","3","6","AM7","Z","9.1","9","9","31","210","11/21/2016"
"ACURA","NSX","TWO-SEATER","3.5","6","AM9","Z","11.1","10.8","11","26","261","2/27/2017"
"ACURA","RDX AWD","SUV - SMALL","3.5","6","AS6","Z","12.4","8.7","10.7","26","250","11/8/2012"
"ACURA","RLX HYBRID","MID-SIZE","3.5","6","AM7","Z","8.2","7.8","8.1","35","190","10/21/2011"
"ACURA","TLX","COMPACT","2.4","4","AM8","Z","9.6","6.6","8.3","34","197","10/14/2020"
"ACURA","TLX SH-AWD","COMPACT","3.5","6","AS9","Z","11.2","7.5","9.6","29","226","2/9/2014"
"ALFA ROMEO","4C","TWO-SEATER","1.8","4","AM6","Z","9.7","6.9","8.4","34","197","1/5/2011"
"ALFA ROMEO","4C SPIDER","TWO-SEATER","1.8","4","AM6","Z","9.7","6.9","8.4","34","197","6/13/2015"
"ALFA ROMEO","GIULIA","MID-SIZE","2","4","A8","Z","10","7.2","8.7","32","205","10/18/2020"
"ALFA ROMEO","GIULIA AWD","MID-SIZE","2","4","A8","Z","10.5","7.7","9.2","31","217","12/14/2020"
"ALFA ROMEO","GIULIA QUADRIFOGLIO","MID-SIZE","2.9","6","A8","Z","13.8","9.6","11.9","24","280","5/27/2014"
"ASTON MARTIN","DB11 V12","MINICOMPACT","5.2","12","A8","Z","15.5","11.4","13.7","21","322","5/14/2017"
"ASTON MARTIN","RAPIDE S","SUBCOMPACT","6","12","A8","Z","16.7","10.9","14.1","20","331","7/14/2016"
"ASTON MARTIN","VANQUISH","MINICOMPACT","6","12","A8","Z","17.5","11.4","14.7","19","345","8/17/2018"
"ASTON MARTIN","V12 VANTAGE S","TWO-SEATER","6","12","AM7","Z","19.4","12.8","16.4","17","388","4/21/2012"
"ASTON MARTIN","V12 VANTAGE S","TWO-SEATER","6","12","M7","Z","23.2","14.4","19.2","15","450","7/2/2013"
"AUDI","A3","SUBCOMPACT","2","4","AM7","X","9.1","6.8","8","35","188","6/8/2014"
"AUDI","A3 QUATTRO","SUBCOMPACT","2","4","AM6","X","9.7","7.5","8.7","32","205","9/30/2012"
"AUDI","A3 CABRIOLET QUATTRO","SUBCOMPACT","2","4","AM6","X","10.8","8","9.5","30","223","1/17/2014"
"AUDI","A4 ULTRA","COMPACT","2","4","AM7","Z","8.6","6.4","7.6","37","177","12/8/2016"
"AUDI","A4 QUATTRO","COMPACT","2","4","AM7","Z","9.8","7.7","8.8","32","205","10/27/2019"
"AUDI","A4 QUATTRO","COMPACT","2","4","M6","Z","9.9","7","8.6","33","204","12/18/2015"
"AUDI","A4 ALLROAD QUATTRO","STATION WAGON - SMALL","2","4","AM7","Z","10.2","8.3","9.3","30","217","9/3/2016"
"AUDI","A5 QUATTRO","SUBCOMPACT","2","4","AS8","Z","11","8","9.7","29","226","5/24/2013"
"AUDI","A5 QUATTRO","SUBCOMPACT","2","4","M6","Z","10.4","7.3","9","31","210","12/3/2018"
"AUDI","A5 CABRIOLET QUATTRO","SUBCOMPACT","2","4","AS8","Z","11.3","8.2","9.9","29","231","3/22/2013"
"AUDI","A6 QUATTRO","MID-SIZE","2","4","AS8","Z","10.9","7.5","9.4","30","220","6/28/2017"
"AUDI","A6 QUATTRO","MID-SIZE","3","6","AS8","Z","11.5","8.2","10","28","238","1/2/2021"
"AUDI","A7 QUATTRO","MID-SIZE","3","6","AS8","Z","11.5","8.2","10","28","238","2/13/2019"
"AUDI","A8","MID-SIZE","3","6","AS8","Z","12.6","8","10.5","27","246","1/2/2016"
"AUDI","A8","MID-SIZE","4","8","AS8","Z","12.9","8","10.7","26","249","5/16/2018"
"AUDI","A8L","FULL-SIZE","4","8","AS8","Z","13.1","8.3","10.9","26","255","2/8/2016"
"AUDI","Q3","COMPACT","2","4","AS6","Z","11.9","8.4","10.3","27","243","11/1/2018"
"AUDI","Q3 QUATTRO","COMPACT","2","4","AS6","Z","11.9","8.4","10.3","27","241","9/15/2013"
"AUDI","Q5","SUV - SMALL","2","4","AS8","Z","12","8.6","10.5","27","246","5/31/2019"
"AUDI","Q5","SUV - SMALL","3","6","AS8","Z","13.2","9.2","11.4","25","267","12/2/2021"
"AUDI","Q7","SUV - STANDARD","2","4","AS8","Z","11.9","9.6","10.8","26","253","4/4/2017"
"AUDI","Q7","SUV - STANDARD","3","6","AS8","Z","12.6","9.4","11.1","25","260","7/17/2016"
"AUDI","R8","TWO-SEATER","5.2","10","AM7","Z","16.5","11.2","14.1","20","330","4/10/2011"
"AUDI","R8 SPYDER","TWO-SEATER","5.2","10","AM7","Z","16.5","11.2","14.1","20","330","10/7/2016"
"AUDI","RS 7","MID-SIZE","4","8","AS8","Z","16.2","9.3","13.1","22","309","8/26/2014"
"AUDI","S3","SUBCOMPACT","2","4","AM6","Z","11","8.5","9.9","29","232","9/17/2011"
"AUDI","S5","SUBCOMPACT","3","6","AM7","Z","13","8.5","11","26","259","10/15/2013"
"AUDI","S5","SUBCOMPACT","3","6","M6","Z","13.8","9","11.7","24","273","7/4/2015"
"AUDI","S5 CABRIOLET","SUBCOMPACT","3","6","AM7","Z","13.3","9.1","11.4","25","266","2/26/2013"
"AUDI","S6","MID-SIZE","4","8","AM7","Z","13.3","8.8","11.3","25","263","5/19/2019"
"AUDI","S7","MID-SIZE","4","8","AM7","Z","13.4","8.8","11.4","25","265","3/23/2017"
"AUDI","S8","MID-SIZE","4","8","AS8","Z","16.2","9.9","13.4","21","312","10/1/2014"
"AUDI","SQ5","SUV - SMALL","3","6","AS8","Z","14.1","9.9","12.2","23","285","2/17/2013"
"AUDI","TT COUPE QUATTRO","SUBCOMPACT","2","4","AM6","X","10.1","7.8","9.1","31","209","4/29/2020"
"AUDI","TT ROADSTER QUATTRO","TWO-SEATER","2","4","AM6","X","10.1","7.8","9.1","31","209","3/24/2020"
"AUDI","TTS COUPE QUATTRO","SUBCOMPACT","2","4","AM6","Z","10.3","8.6","9.5","30","222","1/17/2016"
"BENTLEY","BENTAYGA","SUV - STANDARD","6","12","AS8","Z","18.8","12.2","15.9","18","370","3/23/2014"
"BENTLEY","CONTINENTAL GT","COMPACT","4","8","AS8","Z","16.1","9.4","13.1","22","307","12/7/2018"
"BENTLEY","CONTINENTAL GT","COMPACT","6","12","AS8","Z","18.9","11.2","15.4","18","360","1/26/2014"
"BENTLEY","CONTINENTAL GT CONVERTIBLE","SUBCOMPACT","4","8","AS8","Z","17.7","10.3","14.4","20","337","11/22/2011"
"BENTLEY","CONTINENTAL GT CONVERTIBLE","SUBCOMPACT","6","12","AS8","Z","19.6","11.7","16","18","375","9/21/2018"
"BENTLEY","FLYING SPUR","MID-SIZE","4","8","AS8","Z","17","9.9","13.8","20","321","7/28/2018"
"BENTLEY","FLYING SPUR","MID-SIZE","6","12","AS8","Z","19.6","11.7","16","18","375","6/4/2016"
"BENTLEY","MULSANNE","MID-SIZE","6.8","8","AS8","Z","21.3","12.8","17.5","16","407","4/21/2015"
"BENTLEY","MULSANNE EWB","MID-SIZE","6.8","8","AS8","Z","22.2","13.6","18.3","15","430","2/12/2018"
"BMW","230i CABRIOLET","SUBCOMPACT","2","4","AS8","Z","10","7.2","8.7","32","207","7/27/2017"
"BMW","230i COUPE","SUBCOMPACT","2","4","AS8","Z","9.8","6.8","8.4","34","197","8/1/2019"
"BMW","230i COUPE","SUBCOMPACT","2","4","M6","Z","11.1","7.3","9.4","30","219","10/15/2018"
"BMW","230i xDRIVE CABRIOLET","SUBCOMPACT","2","4","AS8","Z","10.5","7.4","9.1","31","213","2/19/2018"
"BMW","230i xDRIVE COUPE","SUBCOMPACT","2","4","AS8","Z","10.2","7.4","9","31","210","8/20/2013"
"BMW","320i","COMPACT","2","4","AS8","Z","10","6.5","8.4","34","200","5/30/2020"
"BMW","320i","COMPACT","2","4","M6","Z","10.2","6.7","8.6","33","202","5/10/2020"
"BMW","320i xDRIVE","COMPACT","2","4","AS8","Z","10.3","6.9","8.8","32","206","1/2/2013"
"BMW","328d xDRIVE","COMPACT","2","4","AS8","D","7.9","5.9","7","40","189","9/15/2018"
"BMW","328d xDRIVE TOURING","STATION WAGON - SMALL","2","4","AS8","D","7.9","5.9","7","40","189","3/26/2019"
"BMW","330i xDRIVE","COMPACT","2","4","AS8","Z","10.5","7.4","9.1","31","213","10/15/2015"
"BMW","330i xDRIVE GRAN TURISMO","FULL-SIZE","2","4","AS8","Z","10.5","7.4","9.1","31","213","9/23/2019"
"BMW","330i xDRIVE TOURING","STATION WAGON - SMALL","2","4","AS8","Z","10.5","7.4","9.1","31","213","11/8/2012"
"BMW","340i","COMPACT","3","6","AS8","Z","11.1","7.8","9.6","29","224","9/27/2015"
"BMW","340i","COMPACT","3","6","M6","Z","12.2","8.2","10.4","27","242","12/5/2018"
"BMW","340i xDRIVE","COMPACT","3","6","AS8","Z","11.4","7.8","9.8","29","228","12/30/2017"
"BMW","340i xDRIVE","COMPACT","3","6","M6","Z","12.2","8.5","10.5","27","246","7/30/2015"
"BMW","340i xDRIVE GRAN TURISMO","FULL-SIZE","3","6","AS8","Z","11.9","8.1","10.2","28","238","12/17/2013"
"BMW","430i xDRIVE CABRIOLET","SUBCOMPACT","2","4","AS8","Z","10.6","7.3","9.1","31","211","8/15/2019"
"BMW","430i xDRIVE COUPE","COMPACT","2","4","AS8","Z","10.5","7.4","9.1","31","213","9/9/2014"
"BMW","430i xDRIVE GRAN COUPE","COMPACT","2","4","AS8","Z","10.5","7.4","9.1","31","213","2/14/2016"
"BMW","440i COUPE","COMPACT","3","6","AS8","Z","11.1","7.8","9.6","29","224","3/25/2020"
"BMW","440i COUPE","COMPACT","3","6","M6","Z","12.2","8.2","10.4","27","242","1/4/2017"
"BMW","440i xDRIVE CABRIOLET","SUBCOMPACT","3","6","AS8","Z","11.9","8.1","10.2","28","238","6/8/2018"
"BMW","440i xDRIVE COUPE","COMPACT","3","6","AS8","Z","11.4","7.8","9.8","29","228","2/4/2021"
"BMW","440i xDRIVE COUPE","COMPACT","3","6","M6","Z","12.2","8.5","10.5","27","246","4/10/2012"
"BMW","440i xDRIVE GRAN COUPE","COMPACT","3","6","AS8","Z","11.4","7.8","9.8","29","228","10/8/2017"
"BMW","530i xDRIVE","MID-SIZE","2","4","AS8","Z","10.5","7.4","9.1","31","213","2/19/2018"
"BMW","540i xDRIVE","MID-SIZE","3","6","AS8","Z","11.4","7.8","9.8","29","228","7/9/2016"
"BMW","640i xDRIVE CABRIOLET","SUBCOMPACT","3","6","AS8","Z","12.4","8.4","10.6","27","249","2/26/2015"
"BMW","640i xDRIVE GRAN COUPE","COMPACT","3","6","AS8","Z","12.4","8.4","10.6","27","249","1/5/2016"
"BMW","650i xDRIVE CABRIOLET","SUBCOMPACT","4.4","8","AS8","Z","14.7","9.7","12.5","23","292","7/1/2016"
"BMW","650i xDRIVE COUPE","COMPACT","4.4","8","AS8","Z","13.8","9.1","11.7","24","273","1/22/2012"
"BMW","650i xDRIVE GRAN COUPE","COMPACT","4.4","8","AS8","Z","14.7","9.7","12.5","23","292","9/8/2017"
"BMW","740Li xDRIVE","FULL-SIZE","3","6","AS8","Z","11.9","8.1","10.2","28","238","10/9/2017"
"BMW","750i xDRIVE","FULL-SIZE","4.4","8","AS8","Z","13.8","9.1","11.7","24","273","3/26/2020"
"BMW","750Li xDRIVE","FULL-SIZE","4.4","8","AS8","Z","14.7","9.7","12.5","23","292","1/30/2018"
